system:time_start,LST_Day_1km
"Dec 4, 2008",
"Dec 5, 2008",
"Dec 6, 2008",24.341
"Dec 7, 2008",
"Dec 8, 2008",24.499
"Dec 9, 2008",
"Dec 10, 2008",19.12
"Dec 11, 2008",
"Dec 12, 2008",26.695
"Dec 13, 2008",25.227
"Dec 14, 2008",16.892
"Dec 15, 2008",18.81
"Dec 16, 2008",17.015
"Dec 17, 2008",24.042
"Dec 18, 2008",
"Dec 19, 2008",23.94
"Dec 20, 2008",
"Dec 23, 2008",
"Dec 24, 2008",23.51
"Dec 25, 2008",
"Dec 26, 2008",25.727
"Dec 27, 2008",19.992
"Dec 28, 2008",25.978
"Dec 29, 2008",21.896
"Dec 30, 2008",23.041
"Dec 31, 2008",25.783
"Jan 1, 2009",
"Jan 2, 2009",25.801
"Jan 3, 2009",18.41
"Jan 4, 2009",24.494
"Jan 5, 2009",22.511
"Jan 6, 2009",
"Jan 7, 2009",
"Jan 8, 2009",
"Jan 9, 2009",
"Jan 10, 2009",
"Jan 11, 2009",25.093
"Jan 12, 2009",22.223
"Jan 13, 2009",
"Jan 14, 2009",
"Jan 15, 2009",23.298
"Jan 16, 2009",
"Jan 17, 2009",
"Jan 18, 2009",11.29
"Jan 19, 2009",
"Jan 20, 2009",
"Jan 21, 2009",
"Jan 22, 2009",
"Jan 23, 2009",26
"Jan 24, 2009",
"Jan 25, 2009",17.488
"Jan 26, 2009",
"Jan 27, 2009",26.448
"Jan 28, 2009",20.049
"Jan 29, 2009",24.677
"Jan 30, 2009",
"Jan 31, 2009",
"Feb 1, 2009",23.704
"Feb 2, 2009",
"Feb 3, 2009",24.545
"Feb 4, 2009",
"Feb 5, 2009",
"Feb 6, 2009",
"Feb 7, 2009",23.941
"Feb 8, 2009",
"Feb 9, 2009",
"Feb 10, 2009",
"Feb 11, 2009",
"Feb 12, 2009",
"Feb 13, 2009",
"Feb 14, 2009",
"Feb 15, 2009",22.643
"Feb 16, 2009",
"Feb 17, 2009",22.666
"Feb 18, 2009",
"Feb 19, 2009",24.288
