,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
131,8,"['2009', 'w28']",2009,200928,2009-07-11,7,19.57271428571429,43.69152626016813,44.78601603646209,43.19240171810902
132,5,"['2009', 'w29']",2009,200929,2009-07-18,7,21.30507142857143,5.256693333858037,5.643995238502244,5.068475593503462
133,6,"['2009', 'w30']",2009,200930,2009-07-25,7,25.5835,25.37436141835235,26.19090655368307,24.93647816049943
134,6,"['2009', 'w31']",2009,200931,2009-08-01,8,22.12,0.0,0.0,0.0
135,5,"['2009', 'w32']",2009,200932,2009-08-08,8,22.778500000000005,32.17632822725341,30.35857855110352,33.1279668721584
136,14,"['2009', 'w33']",2009,200933,2009-08-15,8,21.738357142857147,21.14609629642489,20.22881694369846,21.48837845675442
137,10,"['2009', 'w34']",2009,200934,2009-08-22,8,22.9465,42.96620822367002,37.82422108788422,45.40247300863267
138,10,"['2009', 'w35']",2009,200935,2009-08-29,8,25.33957142857143,23.21228287134153,25.21538991306139,22.38656388685244
139,7,"['2009', 'w36']",2009,200936,2009-09-05,9,25.04135714285714,22.44606628183767,21.2151106055808,22.97720286228241
140,6,"['2009', 'w37']",2009,200937,2009-09-12,9,25.050642857142854,22.40481164714466,22.35216103913127,22.36533128187197
141,10,"['2009', 'w38']",2009,200938,2009-09-19,9,20.530285714285718,49.05067190473319,48.64723211878164,49.06664939298543
142,25,"['2009', 'w39']",2009,200939,2009-09-26,9,27.33107142857143,15.95909467642622,15.57376619122455,16.12203576914762
143,20,"['2009', 'w40']",2009,200940,2009-10-03,10,29.841857142857148,26.39811132862383,26.81168790715904,26.21625522998495
144,18,"['2009', 'w41']",2009,200941,2009-10-10,10,28.550285714285717,28.29979125246998,28.45243328205054,28.14265003357458
145,15,"['2009', 'w42']",2009,200942,2009-10-17,10,28.509428571428572,65.76308597617714,68.9653446920828,64.33545972513497
